time,x,y
1732700709963.07,1634.21,218.99
1732700709994.13,1635.23,218.21
1732700710023.62,1636.35,216.96
1732700710054.37,1637.09,215.59
1732700710085.16,1637.5,214.31
1732700710115.13,1637.79,213.65
1732700710145.05,1637.64,213.43
1732700710174.86,1637.53,212.7
1732700710204.72,1637.31,211.53
1732700710235.22,1637.07,211.09
1732700710265.75,1637.22,210.84
1732700710296.21,1602.92,230.93
1732700710325.73,1451.28,300.47
1732700710355.85,1282.84,370.89
1732700710386.92,1172.19,416.33
1732700710416.43,1108.3,443.87
1732700710447.62,1074.25,459.37
1732700710476.96,1056.01,466.12
1732700710506.88,925.58,493.32
1732700710537.59,710.91,528.58
1732700710567.94,571.61,548.68
1732700710598.15,499.52,559.21
1732700710627.89,460.41,567.05
1732700710657.89,442.74,573.53
1732700710688.07,429.87,572.32
1732700710718.21,422.99,571.03
1732700710748.99,419.62,570.47
1732700710778.69,415.59,568.57
1732700710809.49,413.96,567.2
1732700710838.98,410.78,565.13
1732700710869.82,408.78,563.51
1732700710900.25,407.94,553.35
1732700710930.08,406.03,539.93
1732700710960.3,404.64,527.71
1732700710990.0,404.06,518.17
1732700711020.79,402.2,508.58
1732700711049.88,400.7,501.07
1732700711081.21,401.09,494.77
1732700711111.4,401.39,489.89
1732700711141.75,450.67,494.99
1732700711172.0,615.06,516.63
1732700711202.61,811.81,542.5
1732700711231.97,944.38,560.25
1732700711262.26,1022.54,567.75
1732700711292.94,1068.1,573.46
1732700711323.06,1091.93,575.74
1732700711353.45,1105.37,574.05
1732700711383.59,1110.18,573.82
1732700711451.52,1115.69,576.65
1732700711452.99,1119.52,577.91
1732700711473.3,1122.1,606.02
1732700711503.66,1115.44,658.9
1732700711533.83,1111.85,706.59
1732700711564.93,1107.44,745.29
1732700711594.93,1103.69,772.62
1732700711624.72,1101.43,788.84
1732700711655.58,1100.88,802.74
1732700711685.54,1099.56,809.41
1732700711715.44,1097.29,814.35
1732700711746.24,1079.62,892.72
1732700711776.34,1051.36,1012.93
1732700711805.93,1031.49,1102.01
1732700711836.84,1019.17,1150.13
1732700711866.17,1012.97,1175.95
1732700711896.65,1012.6,1190.2
1732700711927.38,1007.69,1196.61
1732700711956.91,1007.57,1197.77
1732700711987.57,1008.52,1200.78
1732700712017.63,1049.36,1204.7
1732700712048.04,1097.19,1206.8
1732700712077.84,1134.57,1206.78
1732700712108.51,1164.12,1207.99
1732700712138.62,1184.23,1208.37
1732700712168.62,1200.73,1209.37
1732700712197.98,1212.56,1210.9
1732700712229.4,1220.29,1207.42
1732700712259.59,1206.76,1138.72
1732700712289.96,1165.19,965.69
1732700712319.79,1122.2,807.86
1732700712349.56,1099.94,716.09
1732700712380.58,1089.39,671.37
1732700712410.18,1082.62,647.11
1732700712440.9,1080.84,636.17
1732700712470.8,1078.66,627.72
1732700712501.19,1076.61,624.95
1732700712530.29,1016.55,640.39
1732700712561.56,860.12,670.12
1732700712591.75,693.19,700.31
1732700712621.94,573.31,721.28
1732700712652.11,500.15,732.38
1732700712682.19,459.21,740.46
1732700712718.38,435.82,748.36
1732700712742.16,421.99,752.49
1732700712772.66,417.26,755.49
1732700712802.48,410.67,758.6
1732700712832.26,407.43,760.73
1732700712863.72,407.47,794.28
1732700712893.37,407.24,836.35
1732700712923.79,408.88,871.45
1732700712953.8,412.21,901.2
1732700712984.5,414.0,922.56
1732700713014.54,415.84,936.19
1732700713044.23,418.34,944.83
1732700713074.65,417.43,948.53
1732700713104.72,414.71,951.23
1732700713135.38,416.84,972.49
1732700713165.25,419.98,1000.08
1732700713195.48,422.65,1021.74
1732700713226.0,425.65,1041.42
1732700713256.03,428.87,1055.81
1732700713286.15,428.28,1062.93
1732700713316.06,429.23,1080.04
1732700713346.96,428.91,1096.11
1732700713376.91,428.13,1105.75
1732700713406.93,427.4,1112.78
1732700713437.47,427.52,1117.46
1732700713467.17,425.79,1120.53
1732700713497.8,425.22,1122.68
1732700713528.35,425.34,1125.53
1732700713558.02,426.55,1128.26
1732700713587.98,426.06,1129.37
1732700713618.17,425.78,1129.5
1732700713649.03,424.84,1128.53
1732700713679.1,424.55,1125.24
1732700713709.22,424.29,1122.96
1732700713739.59,452.32,1077.0
1732700713769.84,632.11,816.74
1732700713800.51,839.99,523.92
1732700713830.68,948.41,369.82
1732700713860.4,990.73,302.67
1732700713890.27,1010.41,278.33
1732700713920.56,1017.22,265.43
1732700713951.15,1018.69,248.15
1732700713981.05,1022.69,226.94
1732700714011.04,1026.57,215.4
1732700714041.8,1026.42,208.29
1732700714071.31,1028.96,202.81
1732700714101.54,1071.47,195.87
1732700714132.84,1111.42,190.3
1732700714162.86,1141.48,186.3
1732700714193.41,1160.67,184.68
1732700714223.06,1175.37,184.72
1732700714252.82,1184.68,185.42
1732700714283.34,1191.03,185.57
1732700714313.68,1195.63,186.39
1732700714344.15,1199.12,187.25
1732700714374.3,1201.45,188.3
1732700714404.06,1237.98,188.63
1732700714434.8,1292.17,188.64
1732700714464.73,1339.68,187.88
1732700714495.0,1375.2,188.38
1732700714525.04,1400.48,187.7
1732700714555.73,1418.95,187.85
1732700714585.24,1431.76,187.84
1732700714615.56,1478.36,188.08
1732700714646.22,1600.23,188.36
1732700714676.59,1710.36,187.01
1732700714705.81,1782.38,188.82
1732700714736.3,1827.47,189.07
1732700714766.82,1854.74,190.43
1732700714796.61,1872.02,191.19
1732700714827.41,1881.55,192.34
1732700714857.61,1878.82,192.5
1732700714888.01,1875.54,193.48
